Rent,Beds,Baths,Sqft,Floor,Zip
1750,1,1.0,,,10035
2300,0,1.0,,,10028
2490,1,1.0,,4.0,10036
2750,1,1.0,496.0,5.0,10021
2150,0,1.0,,3.0,10024
2875,1,1.0,,2.0,10023
2225,1,1.0,,4.0,10036
2450,0,1.0,,4.0,10014
1800,1,1.0,,,10027
2850,1,1.0,700.0,4.0,10023
2700,1,1.0,,,10009
3000,0,1.0,487.0,,
2700,1,1.0,525.0,,10009
2850,1,1.0,,,10009
2199,1,1.0,,2.0,10002
2895,0,1.0,,2.0,10013
2200,1,1.0,,,10002
2600,0,1.0,406.0,,10004
2300,0,1.0,350.0,4.0,10023
2400,0,1.0,,1.0,10024
2195,0,1.0,400.0,3.0,10024
2800,1,1.0,600.0,3.0,10026
2495,1,1.0,,4.0,10019
1900,1,1.0,,,10065
1815,1,1.0,596.0,6.0,10037
2700,1,1.0,525.0,,10009
2850,1,1.0,,,10009
2199,1,1.0,,2.0,10002
2895,0,1.0,,2.0,10013
2200,1,1.0,,,10002
2600,0,1.0,406.0,,10004
2300,0,1.0,350.0,4.0,10023
2400,0,1.0,,1.0,10024
2195,0,1.0,400.0,3.0,10024
2800,1,1.0,600.0,3.0,10026
2495,1,1.0,,4.0,10019
1900,1,1.0,,,10065
1815,1,1.0,596.0,6.0,10037
2950,0,1.0,,7.0,10036
2950,0,1.0,,,
2395,1,1.0,,3.0,10003
2600,1,1.0,,,10013
2550,0,1.0,515.0,5.0,10280
2650,0,1.0,,2.0,10013
2150,0,1.0,450.0,,10002
2200,1,1.0,,,10003
2300,1,1.0,,5.0,10013
2995,1,1.0,650.0,4.0,10002
2150,0,1.0,,,10009
2400,0,1.0,535.0,2.0,10005
3000,0,1.0,541.0,9.0,10013
1925,0,1.0,,,10009
2550,1,1.0,650.0,4.0,10002
2295,1,1.0,,1.0,10003
2050,1,1.0,,,10002
1895,0,1.0,,2.0,10003
2750,1,1.0,550.0,4.0,10009
2530,1,1.0,,3.0,10002
2730,0,1.0,483.0,5.0,10280
2350,1,1.0,326.0,2.0,10002
2595,1,1.0,,,10002
2675,1,1.0,475.0,,10002
2995,1,1.0,,,10013
2295,1,1.0,,11.0,10002
2515,0,1.0,,,10005
2350,1,1.0,,,10002
2999,1,1.0,,12.0,10012
2400,1,1.0,,4.0,10009
1580,0,1.0,300.0,2.0,10003
1995,1,1.0,,,10002
2750,1,1.0,400.0,2.0,10002
2995,1,1.0,,,10002
2650,0,1.0,,5.0,10009
1975,0,1.0,,,10003
2925,0,1.0,,4.0,10013
2550,0,1.0,425.0,14.0,10006
2800,1,1.0,,,10003
2250,0,1.0,350.0,1.0,10003
2995,1,1.0,,5.0,10013
3000,0,1.0,,,10004
2800,1,1.0,750.0,1.0,10002
2250,1,1.0,,5.0,10003
2895,1,1.0,,3.0,10012
2050,1,1.0,,,10002
2290,1,1.0,,,10009
2695,1,1.0,,4.0,10002
2595,1,1.0,,2.0,10002
2295,1,1.0,,1.0,10002
2400,0,1.0,500.0,,10002
2400,0,1.0,,,10003
2195,1,1.0,,,10009
2750,1,1.0,,2.0,10009
2400,0,1.0,550.0,8.0,10002
2500,1,1.0,500.0,1.0,10003
2600,1,1.0,,,10009
2650,0,1.0,515.0,,10038
2800,0,1.0,,3.0,10012
2650,1,1.0,,,10002
2000,0,1.0,,,10003
2700,1,1.0,,,10002
1750,0,1.0,,3.0,10002
2895,1,1.0,,,10012
2250,1,1.0,,,10009
2650,1,1.0,,,10002
2300,1,1.0,,4.0,10009
2475,1,1.0,550.0,5.0,10013
2625,1,1.0,,,10012
2875,1,1.0,,3.0,10009
2800,1,1.0,,3.0,10003
2250,1,1.0,,,10009
2975,1,1.0,,4.0,10002
2100,1,1.0,,,10009
1975,1,1.0,,4.0,10003
1890,0,1.0,,,10003
2100,1,1.0,,,10002
2600,1,1.0,,,10002
2250,0,1.0,500.0,,10002
1950,0,1.0,,5.0,10002
2250,0,1.0,500.0,,10002
2995,1,1.0,,4.0,10009
1900,1,1.0,,,10003
3000,1,1.0,,4.0,10009
1600,1,1.0,300.0,,10002
2195,0,1.0,,2.0,10038
2795,1,1.0,,,10012
2100,0,1.0,,5.0,10009
2695,1,1.0,700.0,,10009
1995,0,1.0,,,10002
1975,0,1.0,,,10009
2095,0,1.0,,,10012
2495,1,1.0,,,10012
2100,1,1.0,,1.0,10009
2800,1,1.0,624.0,1.0,10009
2800,1,1.0,,2.0,10003
2850,0,1.0,,,10038
2895,1,1.0,,,10003
2299,0,1.0,,8.0,10006
2175,0,1.0,,2.0,10009
2300,1,1.0,650.0,,10009
2955,0,1.0,,,10280
2788,1,1.0,514.0,9.0,10006
2950,1,1.0,530.0,10.0,10002
2300,1,1.0,,,10009
2700,0,1.0,618.0,,10006
1950,1,1.0,,,10002
2600,1,1.0,750.0,,10009
1995,0,1.0,600.0,,10009
3000,1,1.0,,,10002
2750,1,1.0,,5.0,10012
2100,1,1.0,,,10002
2400,1,1.0,,,10009
2395,1,1.0,,5.0,10038
2595,0,1.0,438.0,7.0,10002
2400,1,1.0,,3.0,10002
1995,0,1.0,,,10009
2250,1,1.0,,6.0,10009
2350,1,1.0,500.0,1.0,10003
2995,1,1.0,,,10013
2600,1,1.0,,5.0,10009
3000,1,1.0,,,10009
2695,1,1.0,500.0,,10012
2950,1,1.0,550.0,6.0,10280
2195,1,1.0,,4.0,10002
3000,0,1.0,,1.0,10002
3000,0,1.0,488.0,,10038
1850,1,1.0,500.0,1.0,10002
2050,0,1.0,380.0,3.0,10013
2800,0,1.0,687.0,14.0,10038
2500,1,1.0,,,10013
2995,1,1.0,602.0,4.0,10280
2600,1,1.0,,,10002
2350,1,1.0,550.0,4.0,10013
2850,1,1.0,800.0,,10004
2300,0,1.0,480.0,,10002
2550,0,1.0,,4.0,10013
2950,1,1.0,522.0,16.0,10017
2395,1,1.0,,4.0,10009
2595,1,1.0,,,10009
3000,1,1.0,,1.0,10009
2995,0,1.0,583.0,11.0,10004
2499,0,1.0,418.0,,10005
2850,0,1.0,400.0,,10012
2000,0,1.0,,,10002
2500,1,1.0,,,10002
2650,1,1.0,,,10012
2400,1,1.0,550.0,,10012
2595,1,1.0,,,11229
2525,0,1.0,,16.0,10038
2650,0,1.0,452.0,32.0,10005
2000,0,1.0,,,10002
2495,0,1.0,,,10012
2795,1,1.0,,,10009
2800,0,1.0,450.0,2.0,10002
2800,0,1.0,,3.0,10038
2895,0,1.0,569.0,,10006
2699,0,1.0,500.0,7.0,10003
2000,0,1.0,,7.0,10038
2995,1,1.0,,5.0,10012
2450,0,1.0,,,10009
2800,0,1.0,,,10002
2495,0,1.0,,,10012
2900,1,1.0,,,10003
1895,1,1.0,,,10002
1895,0,1.0,450.0,4.0,10002
2400,1,1.0,422.0,3.0,10002
2850,1,1.0,,,10003
2600,0,1.0,300.0,,10009
2600,0,1.0,496.0,9.0,10038
2545,0,1.0,620.0,14.0,10280
2050,1,1.0,,,10013
1995,1,1.0,600.0,,10009
2720,0,1.0,572.0,,
2940,0,1.0,280.0,,
2945,0,1.0,412.0,,
2500,0,1.0,,,
1850,1,1.0,,,10029
2500,0,1.0,,4.0,10001
2925,0,1.0,440.0,,
2495,0,1.0,,,10065
2200,0,1.0,425.0,3.0,10075
2595,0,1.0,,,10024
2995,0,1.0,,,10016
2595,1,1.0,,4.0,10023
2400,1,1.0,450.0,,10003
2750,1,1.0,510.0,5.0,10024
2095,1,1.0,750.0,,10035
1850,1,1.0,,2.0,10029
2250,1,1.0,,4.0,10028
2299,1,1.0,,2.0,10010
2620,0,1.0,421.0,,
2947,1,1.0,,,10009
1825,1,1.0,,2.0,10033
1500,0,1.0,,1.0,10029
1695,0,1.0,,,10029
2950,0,1.0,,,10011
2595,1,1.0,,,10029
2800,1,1.0,650.0,2.0,10075
2450,1,1.0,,3.0,10016
1900,1,1.0,,5.0,10027
1900,0,1.0,,2.0,10028
1550,1,1.0,,5.0,10040
2000,1,1.0,400.0,5.0,10035
3000,1,1.0,400.0,9.0,10017
2595,1,1.0,,,10065
2600,1,1.0,,,10028
1900,0,1.0,,2.0,10021
2925,0,1.0,,5.0,10011
2975,0,1.0,,9.0,10001
2350,0,1.0,500.0,10.0,10016
2449,0,1.0,,,10011
2852,1,1.0,,5.0,10011
2885,0,1.0,432.0,,
2095,1,1.0,,1.0,10029
2250,1,1.0,,,10017
2450,1,1.0,,3.0,10075
2500,0,1.0,540.0,9.0,10025
1800,0,1.0,,5.0,10075
2495,1,1.0,,,10003
2950,0,1.0,,,
2950,0,1.0,,,
2500,0,1.0,485.0,20.0,10016
2965,0,1.0,522.0,,
2815,0,1.0,480.0,,
2195,0,1.0,,,10009
2995,1,1.0,475.0,3.0,10019
1895,0,1.0,,,10023
2493,1,1.0,500.0,2.0,10024
2170,0,1.0,,2.0,10022
2300,0,1.0,400.0,3.0,10003
2600,0,1.0,,8.0,10065
2265,1,1.0,,,10021
2150,1,1.0,,4.0,10028
2195,0,1.0,,3.0,10019
1795,0,1.0,550.0,,10035
2150,1,1.0,,2.0,10021
